"Data ID","ISO","Event ID","Event Date","Year","Time Precision","Event Type","Actor I","Associated Actor 1","Inter 1","Actor 2","Associated Actor 2","Inter 2","Interaction","Region","Country","Province","Administration 1","Administration 2","Administration 3","Location","Latitude","Longitude","Geo Precision","Source","Coverage","Notes","Fatalities","Timestamp","CC"
"1989402","144","SRI2805","2805","14 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","","6","","","0","60","Southern Asia","Sri Lanka","North Western","Puttalam","Madampe","Medagama","7.5319","79.8761","1","Daily News (Sri Lanka)","National","On 14 Nov, in Medagama (Madampe, Puttalam), locals, including Maha Sanga, staged a protest claiming no road renovation in the Medagama Road has taken place for a considerable length of time. Police were deployed to control the situation.","0","1542726257","LKA"
"1989403","144","SRI2806","2806","14 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","Students (Sri Lanka)","6","","","0","60","Southern Asia","Sri Lanka","Northern","Jaffna","Nallur","Thirunelvely East","9.6869","80.0382","2","Tamil Guardian","National","On 14 Nov, in Thirunelveli East area (Nallur, Jaffna), students at the University of Jaffna held a protest in Thirunelveli in solidarity with Malayaga Tamils in their struggle to achieve a 1000 rupee minimum wage on tea estates.","0","1542726257","LKA"
"1989404","144","SRI2807","2807","14 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka)","6","","","0","60","Southern Asia","Sri Lanka","Northern","Jaffna","Jaffna","Jaffna","9.6685","80.0074","1","Tamil Guardian","National","On 14 Nov, in Jaffna, families of the disappeared staged a protest calling on the US and EU to urge action over Sri Lanka's genocide of Tamil people.","0","1542726257","LKA"
"1989405","144","SRI2808","2808","14 November 2018","2018","1","Riots/Protests","Rioters (Sri Lanka)","UNP: United National Party","5","Rioters (Sri Lanka)","UPFA: United People's Freedom Alliance","5","55","Southern Asia","Sri Lanka","Western","Colombo","Sri Jayawardanapura Kotte","Sri Jayawardenepura Kotte","6.883","79.9071","1","Ada Derana; Sunday Times (Sri Lanka)","National","On 14 Nov, in Sri Jayawardenepura Kotte city (Colombo), UPFA and UNP supporters clashed near the Parliament entry road as Parliament reconvenes and voted on the appointment of the new PM. Police were deployed to control the situation. The source did not mention weapons used in the clash.","0","1542726257","LKA"
"1989400","144","SRI2803","2803","12 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","IUSF: Inter University Students' Federation; Students (Sri Lanka)","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","1","Daily Mirror (Sri Lanka); News1st","National","On 12 Nov, in Colombo city, the University of Kelaniya students, including the IUSF, staged a protest rally outside the University Grants Commission demanding university authorities to provide them hostel and other facilities to carry out their studies.","0","1542726257","LKA"
"1989401","144","SRI2804","2804","12 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","Students (Sri Lanka)","6","","","0","60","Southern Asia","Sri Lanka","North Central","Anuradhapura","N. Palatha East","Anuradhapura","8.3123","80.4131","1","News1st","National","On 12 Nov, in Anuradhapura (N. Palatha East, Anuradhapura), students from Rajarata University staged a protest opposite the bus station demanding reopening of their school and support for 16 suspended university students.","0","1542726257","LKA"
"1989398","144","SRI2801","2801","11 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","UNP: United National Party","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","1","Sunday Times (Sri Lanka); AP; Twitter","National-International","On 11 Nov, in Colombo city, the UNP staged a protest and held a candlelight vigil near the Gangarama Temple to protest against the unconstitutional move adopted by the President to dissolve the Parliament.","0","1542726257","LKA"
"1989399","144","SRI2802","2802","11 November 2018","2018","1","Riots/Protests","UNP: United National Party","Former Government of Nepal (2015-)","3","Rioters (Sri Lanka)","","5","35","Southern Asia","Sri Lanka","North Central","Anuradhapura","Kekirawa","Kekirawa","8.0385","80.5941","1","Hiru News (Sri Lanka); Daily Mirror (Sri Lanka)","National","On 11 Nov, in Kekirawa (Kekirawa, Anuradhapura), an alleged former MP/UNP shot at a group of rioters preparing for a demonstration at the Pradeshiya Sabha. The front and back entrances of the PS building were damaged but there are no report of casualties/fatalities. The shooter alleged that the group threw stones at them and damaged banners made by the former UNP MP.","0","1542726257","LKA"
"1988789","144","SRI2798","2798","09 November 2018","2018","1","Strategic development","Government of Sri Lanka (2015-)","","1","","","0","10","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","1","AFP; New York Times","International","Non-violent activity: On 9 Nov, in Colombo city, the President dissolved the Parliament effective 9 Nov after his party announces not likely getting a Parliament majority vote on the appointment of the new Prime Minister. A snap elections is scheduled on 5 Jan, originally in Aug 2019. The supreme court stayed the dissolution of Parliament on 13 Nov; more hearings are scheduled in December.","0","1542726251","LKA"
"1956471","144","SRI2794","2794","08 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","UNP: United National Party","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","1","Ada Derana; Twitter","National-Other","On 8 Nov, in Colombo city, UNP and other protesters marched from Galle Face Green to Temple Trees to denounce the unconstitutional appointment of the new Prime Minister by the President and to demand reconvening of parliament. Day 9","0","1542122914","LKA"
"1956472","144","SRI2795","2795","08 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","1","Global English (Middle East and North Africa Financial Network)","International","On 8 Nov, in Colombo city, the LGBTQI and civil society organizations staged a protest at the Liberty Roundabout in Kollupitiya to condemn the homophobic comments made by the President at a political rally on 5 Nov. Day 8","0","1542122914","LKA"
"1956473","144","SRI2796","2796","08 November 2018","2018","2","Violence against civilians","UNP: United National Party","","3","Civilians (Sri Lanka)","UNP: United National Party","7","37","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","2","Daily Mirror","National","Assumed on 8 Nov, near Colombo city, a UNP member (Windika Karunasena) was assaulted allegedly by another UNP member (Palitha Thewarapperuma) as he stopped his vehicle near the perpetuator's house during a vehicle parade. Nature of injury is unknown.","0","1542122914","LKA"
"1956474","144","SRI2797","2797","08 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","UNP: United National Party; UNFGG: United National Front for Good Governance","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Kaduwela","Battaramulla South","6.8964","79.9181","2","Agence France Presse -- English; Global English (Middle East and North Africa Financial Network); Daily Financial Times","National-International","On 8 Nov, in Colombo city, the UNP and the United National Front for Good Governance (UNFGG) held a vehicle parade from Galle Face Green to Independence Square to protest against violating Sri Lanka's constitution.","0","1542122914","LKA"
"1956470","144","SRI2793","2793","07 November 2018","2018","2","Riots/Protests","Protesters (Sri Lanka)","Students (Sri Lanka)","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Sri Jayawardanapura Kotte","Rajagiriya","6.9174","79.8896","1","Ada Derana","National","Assumed on 7 Nov, in Rajagiriya (Sri Jayawardanapura Kotte, Colombo), students of the University of Colombo staged a protest at the Ayurveda junction to the demand the removal of the Faculty of Traditional Medicine from the Colombo University.","0","1542122914","LKA"
"1989397","144","SRI2800","2800","07 November 2018","2018","2","Riots/Protests","Protesters (Sri Lanka)","Students (Sri Lanka)","6","","","0","60","Southern Asia","Sri Lanka","Northern","Jaffna","Thenmaradchy (Chavakachcheri)","Kaithady","9.6469","80.121","1","Tamil Guardian","National","Assumed on 7 Nov, in Kaithady (Thenmaradchy, Jaffna), the traditional medicine faculty students at the University of Jaffna held a protest in solidarity with Malayaga Tamils in their struggle to achieve a 1000 rupee minimum wage on tea estates.","0","1542726257","LKA"
"1956469","144","SRI2792","2792","06 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","Buddhist Group (Sri Lanka)","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","1","South Asia Terrorism Portal","Other","On 6 Nov, in Colombo city, a large group of Buddhist monks gathered near the Buddha statue at Viharamahadevi Park and walked to the New Town Hall to hold a rally to demand reconvening of parliament and to honour democracy.","0","1542122914","LKA"
"1989396","144","SRI2799","2799","06 November 2018","2018","2","Violence against civilians","Military Forces of Sri Lanka (2015-)","","1","Civilians (Sri Lanka)","Tamil Ethnic Group (Sri Lanka)","7","17","Southern Asia","Sri Lanka","Northern","Kilinochchi","Karachchi","Kilinochchi","9.3961","80.3982","2","Tamil Guardian","National","Assumed on 6 Nov, in Kilinochchi area (Karachchi, Kilinochchi), a Tamil youth was abducted by a military officer and his other companions in Ponnagar. They demanded Rs 5 lakhs in ransom for his release. Police have arrested the perpetuators later on.","0","1542726257","LKA"
"1955887","144","SRI2753","2753","05 November 2018","2018","1","Strategic development","Government of Sri Lanka (2015-)","","1","","","0","10","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","1","Agence France Presse -- English; Tamil Guardian","National-International","Non-violent activity: On 5 Nov, in Colombo city, Pres. Maithripala Sirisena rescheduled to reconvene the Parliament on 14 Nov to forestall an emergency parliament session called by recently ousted Prime Minister Wickremesinghe to demonstrate his majority support in Parliament. Parliament has not been reconvened since 26 Oct and had been rescheduled 3 times.","0","1542122913","LKA"
"1956465","144","SRI2788","2788","05 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","SLPP: Sri Lanka People's Front; SLNSS: Sri Lanka Nidahas Sevaka Sangamaya; Labour Group (Sri Lanka)","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","1","Agence France Presse -- English; Daily News","National-International","On 5 Nov, in Colombo city, thousands attended a protest rally called ""Rata Rakina Jana Mahimaya"" near the Parliament complex to support the President and the new Prime Minister despite questions of constitutionality over the appointment of the new PM. SLPP and SLNSS also joined.","0","1542122914","LKA"
"1956466","144","SRI2789","2789","05 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","Labour Group (Sri Lanka)","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","1","Hiru News","National","On 5 Nov, in Colombo city, Indian Oil company distributers staged a protest at the company's main office at the Colombo World Trade Centre to demand petrol and diesel prices be made the same as the petroleum corporation prices.","0","1542122914","LKA"
"1956467","144","SRI2790","2790","05 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","UNP: United National Party; Labour Group (Sri Lanka)","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","1","Ada Derana","National","On 5 Nov, in Colombo city, UNP and trade unions launched a protest in front of the Fort Railway Station to demand the parliament to reconvene and establish a legitimate Prime Minister by presenting a majority at the parliament.","0","1542122914","LKA"
"1956468","144","SRI2791","2791","05 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Kaduwela","Battaramulla South","6.8964","79.9181","2","Ada Derana","National","On 5 Nov, near Battaramulla South (Kaduwela, Colombo), a protest was held in front of Speaker Karu Jayasuriya's official residence denouncing his statement on the current political situation and stating that he was being biased and unconstitutional.","0","1542122914","LKA"
"1956457","144","SRI2780","2780","04 November 2018","2018","1","Violence against civilians","Unidentified Armed Group (Sri Lanka)","","3","Civilians (Sri Lanka)","SLPP: Sri Lanka People's Front","7","37","Southern Asia","Sri Lanka","Southern","Matara","Hakmana","Kebiliyapola","6.0833","80.6667","1","Colombo Gazette","National","On 4 Nov, in Kebeliyapola (Hakmana, Matara), an SLPP Pradeshiya Sabha member (Lokuhakuruge Samantha alias 'Manik Shantha') was shot dead by unknown assailants along the Hakmana-Beliatta road. Motive is unknown.","1","1542122914","LKA"
"1956458","144","SRI2781","2781","04 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","UNP: United National Party","6","","","0","60","Southern Asia","Sri Lanka","Eastern","Batticaloa","Eravur Town","Batticaloa","7.7102","81.6924","1","Tamil Guardian","National","On 4 Nov, in Batticaloa (Eravur Town, Batticaloa), UNP staged a protest to denounce a former TNA member (S Viyalendiran ) who defected to the new Prime Minister as he was appointed deputy minister of regional development in the East.","0","1542122914","LKA"
"1956459","144","SRI2782","2782","04 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","UNP: United National Party","6","","","0","60","Southern Asia","Sri Lanka","Northern","Vavuniya","Vavuniya","Vavuniya","8.7514","80.4971","1","Ada Derana","National","On 4 Nov, in Vavuniya town, UNP supporters launched a protest to demand the parliament to reconvene and establish a legitimate Prime Minister by presenting a majority at the parliament.","0","1542122914","LKA"
"1956460","144","SRI2783","2783","04 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","UNP: United National Party","6","","","0","60","Southern Asia","Sri Lanka","Sabaragamuwa","Ratnapura","Ratnapura","Ratnapura","6.6828","80.3992","2","Ada Derana","National","On 4 Nov, in Ratnapura area, UNP supporters launched a protest to demand the parliament to reconvene and establish a legitimate Prime Minister by presenting a majority at the parliament.","0","1542122914","LKA"
"1956461","144","SRI2784","2784","04 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","UNP: United National Party","6","","","0","60","Southern Asia","Sri Lanka","Southern","Galle","Ambalangoda","Ambalangoda","6.2355","80.0538","2","Ada Derana","National","On 4 Nov, in Ambalangoda area (Galle), UNP supporters launched a protest to demand the parliament to reconvene and establish a legitimate Prime Minister by presenting a majority at the parliament.","0","1542122914","LKA"
"1956462","144","SRI2785","2785","04 November 2018","2018","2","Riots/Protests","Protesters (Sri Lanka)","Labour Group (Sri Lanka)","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","2","The Island","National","Assumed on 4 Nov, in Colombo DS, drivers and conductors of long distance buses from Embilipitiya staged a protest against the failure of police to arrest the group responsible for severely injuring 2 of their colleagues in Kaduwela.","0","1542122914","LKA"
"1956463","144","SRI2786","2786","04 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","1","Twitter; Groundviews; Colombo Gazette","National","On 4 Nov, in Colombo city, a citizen protest kicked off at the Liberty Roundabout in Kollupitiya to protest and call for constitutional fairness and respect for voters' rights. An alleged sabotage occurred as the street lights didn't turn on at the usual time. Protest still ongoing as of 10 Nov. Day 4","0","1542122914","LKA"
"1956464","144","SRI2787","2787","04 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","UNP: United National Party","6","","","0","60","Southern Asia","Sri Lanka","Western","Gampaha","Attanagalla","Nittambuwa","7.1426","80.0938","1","News1st","National","On 4 Nov, in Nittambuwa (Attanagalla, Gampaha), UNP and their supporters staged a protest to demand the restoration of democracy in the country by convening parliament.","0","1542122914","LKA"
"1956452","144","SRI2775","2775","03 November 2018","2018","2","Riots/Protests","Protesters (Sri Lanka)","UNP: United National Party","6","","","0","60","Southern Asia","Sri Lanka","North Western","Kurunegala","Bingiriya","Bowatta","7.5993","79.9653","1","News1st","National","Assumed on 3 Nov, in Bowatta (Bingiriya, Kurunegala), UNP and their supporters staged a protest in Boaththa to demand the restoration of democracy in the country by convening parliament.","0","1542122914","LKA"
"1956453","144","SRI2776","2776","03 November 2018","2018","1","Riots/Protests","Rioters (Sri Lanka)","Buddhist Group (Sri Lanka)","5","Police Forces of Sri Lanka (2015-)","Civilians (Sri Lanka); Muslim Group (Sri Lanka)","1","15","Southern Asia","Sri Lanka","Eastern","Trincomalee","Trincomalee Town and Gravets","Trincomalee","8.5711","81.2335","1","Tamil Guardian","National","On 3 Nov, in Trincomalee (Trincomalee Town and Gravets, Trincomalee), a scuffle broke out between the head monk of a nearby Buddhist vihara and his entourage who stormed a Muslim-owned shop and attempted to seize fabrics bearing prints of the Buddha's face and the shop owner who resisted. Police arrived at the scene and seized the fabrics.","0","1542122914","LKA"
"1956454","144","SRI2777","2777","03 November 2018","2018","2","Riots/Protests","Protesters (Sri Lanka)","UNP: United National Party","6","","","0","60","Southern Asia","Sri Lanka","North Central","Anuradhapura","Thambuttegama","Thambuttegama","8.1575","80.2967","2","News1st","National","Assumed on 3 Nov, in Thambuttegama DS (Anuradhapura), UNP supporters staged a protest to demand the restoration of democracy in the country by convening parliament.","0","1542122914","LKA"
"1956455","144","SRI2778","2778","03 November 2018","2018","2","Riots/Protests","Protesters (Sri Lanka)","UNP: United National Party","6","","","0","60","Southern Asia","Sri Lanka","Southern","Hambantota","Ambalanthota","Ambalantota","6.1196","81.0214","2","News1st","National","Assumed on 3 Nov, in Ambalantota DS (Hambantota), UNP and their supporters staged a protest and obstructed the Kataragama - Colombo main road to demand the restoration of democracy in the country by convening parliament.","0","1542122914","LKA"
"1956456","144","SRI2779","2779","03 November 2018","2018","2","Riots/Protests","Protesters (Sri Lanka)","UNP: United National Party","6","","","0","60","Southern Asia","Sri Lanka","Southern","Matara","Matara Four Gravets","Matara","5.9485","80.5353","2","News1st","National","Assumed on 3 Nov, in Matara DS, UNP and their supporters staged a protest opposite in the Matara bus depot to demand the restoration of democracy in the country by convening parliament.","0","1542122914","LKA"
"1955886","144","SRI2772","2772","01 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","1","Daily Mirror; Twitter","National","On 1 Nov, in Colombo city, citizens and civil organization representatives held a demonstration at the Liberty Roundabout calling for constitutional fairness and respect for voters' rights. Protest still ongoing as of 10 Nov.","0","1542122913","LKA"
"1947782","144","SRI2773","2773","01 November 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","JVP: Janatha Vimukthi Peramuna","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Sri Jayawardanapura Kotte","Nugegoda","6.8735","79.8899","1","Daily Mirror","National","On 1 Nov, in Nugegoda (Sri Jayawardanapura Kotte, Colombo), JVP held a protest to demand restoration of democracy in the country in the light of the current government crisis following the sacking of the Prime Minister by the President.","0","1541522738","LKA"
"1956451","144","SRI2774","2774","01 November 2018","2018","1","Violence against civilians","UNP: United National Party","","3","Civilians (Sri Lanka)","Former Military Forces of Sri Lanka (2015-)","7","37","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","1","Ada Derana","National","On 1 Nov, in Colombo city, 2 UNP MPs assaulted and caused face and body injuries to a retired Major (Ajith Prasanna) while the latter was walking near Temple Trees. The nature of injury or motive is unknown. On 5 Nov, the MPs were arrested and later granted bail.","0","1542122914","LKA"
"1947778","144","SRI2769","2769","31 October 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","","6","","","0","60","Southern Asia","Sri Lanka","North Western","Kurunegala","Kuliyapitiya East","Pothuhera","7.4214","80.3303","1","Ada Derana","National","On 31 Oct, in Pothuhera (Kuliyapitiya East, Kurunegala), commuters staged a protest to express their dismay at train delays in the Pothuhera train station.","0","1541522738","LKA"
"1947779","144","SRI2770","2770","31 October 2018","2018","1","Riots/Protests","Rioters (Sri Lanka)","UNP: United National Party; Former Government of Sri Lanka (2015-)","5","Rioters (Sri Lanka)","","5","55","Southern Asia","Sri Lanka","North Western","Puttalam","Wennappuwa","Wennappuwa","7.3454","79.8386","2","Daily News","National","On 13 Oct, in Wennappuwa DS (Puttalam), a brawl occurred inside a former Minister's house (Niroshan Perera, UNP), injuring an urban councillor. The source did not mention the reason for the clash and the nature of the injury.","0","1541522738","LKA"
"1947780","144","SRI2771","2771","31 October 2018","2018","1","Riots/Protests","Rioters (Sri Lanka)","Students (Sri Lanka); IUSF: Inter University Students' Federation","5","Police Forces of Sri Lanka (2015-)","","1","15","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","1","Ada Derana","National","On 31 Oct, in Colombo city, IUSF broke down the gate of the University Grants Commission (UGC) at Ward Place during a demonstration over issues with South Eastern and Rajarata Universities. Police were present but did not use water cannons or tear gas to disperse the demonstrators. One police was injured.","0","1541522738","LKA"
"1947774","144","SRI2765","2765","30 October 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","","6","","","0","60","Southern Asia","Sri Lanka","Northern","Mullaitivu","Maritimepattu","Keppapularu","9.2754","80.7553","1","Tamil Guardian","National","On 30 Oct, in Keppapulavu (Maritimepattu, Mullaitivu), locals staged a protest demanding the return of their lands by the military. They have also written a letter to the UN High Commissioner for Human Rights. Day 609 of the protest.","0","1541522738","LKA"
"1955885","144","SRI2766","2766","30 October 2018","2018","1","Riots/Protests","Protesters (Sri Lanka)","UNP: United National Party; UNF: United National Front","6","","","0","60","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","1","Agence France Presse -- English; News1st; Twitter","National-International","On 30 Oct, in Colombo city, the UNP and thousands of protesters, including UNF, gathered in a protest called, ""Yukthiye Jana Handa (Voice of Justice)"" at Temple Trees in Kollupitiya to denounce the unconstitutional appointment of the new Prime Minister by the President. Protest still ongoing as of 8 Nov.","0","1542122913","LKA"
"1947776","144","SRI2767","2767","30 October 2018","2018","2","Violence against civilians","Unidentified Armed Group (Sri Lanka)","","3","Civilians (Sri Lanka)","","7","37","Southern Asia","Sri Lanka","Western","Colombo","Colombo","Colombo","6.932","79.848","1","Daily Financial Times; The Island","National","Assumed on 30 Oct, in Colombo city, two officials allegedly trespassed and attempted to take away certain office equipment at Temple Trees, as claimed by the ousted Prime Minister. The new PM claimed the officials were tasked to take inventory and that they were assaulted. The source did not mention the nature of the injury.","0","1541522738","LKA"
"1947777","144","SRI2768","2768","30 October 2018","2018","1","Strategic development","Unidentified Armed Group (Sri Lanka)","","3","Police Forces of Sri Lanka (2015-) Special Task Force","","1","13","Southern Asia","Sri Lanka","Southern","Hambantota","Sooriyawewa","Andarawewa","6.2742","81.0496","2","Ada Derana","National","Weapons seizure: On 30 Oct in Pahala Andarawewa area (Sooriyawewa, Hambantota), the STF raided a house of an unidentified armed group and recovered 920 electricity-operated detonators, 1200 dynamites stored in six boxes and 50 sacks each containing 25kg of ammonium nitrate.","0","1541522738","LKA"
